reading,time,temperature
1,15:48:20,25.68
2,15:49:20,26.66
3,15:50:20,26.66
4,15:51:20,26.17
5,15:52:20,26.66
6,15:53:20,26.17
7,15:54:20,26.66
8,15:55:20,26.17
9,15:56:20,26.66
10,15:57:20,26.17
11,15:58:20,26.17
12,15:59:20,26.17
13,16:0:20,26.17
14,16:1:20,26.17
15,16:2:20,25.68
16,16:3:20,26.17
17,16:4:20,26.17
18,16:5:20,26.17
19,16:6:20,25.68
20,16:7:20,26.17
21,16:8:20,26.17
22,16:9:20,26.17
23,16:10:20,26.17
24,16:11:20,26.17
25,16:12:20,26.17
26,16:13:20,26.17
27,16:14:20,25.2
28,16:15:20,26.17
29,16:16:20,25.68
30,16:17:20,26.17
31,16:18:20,26.17
32,16:19:20,26.17
33,16:20:20,26.17
34,16:21:20,26.17
35,16:22:20,26.17
36,16:23:20,26.17
37,16:24:20,25.68
38,16:25:20,25.68
39,16:26:20,26.17
40,16:27:20,26.17
41,16:28:20,26.17
42,16:29:20,25.68
43,16:30:20,26.17
44,16:31:19,26.17
45,16:32:19,26.17
46,16:33:19,26.17
47,16:34:19,25.68
48,16:35:19,25.68
49,16:36:19,26.17
50,16:37:19,25.68
51,16:38:19,25.68
52,16:39:19,26.17
53,16:40:19,26.17
54,16:41:19,25.2
55,16:42:19,25.68
56,16:43:19,25.68
57,16:44:19,25.68
58,16:45:19,25.68
59,16:46:19,25.68
60,16:47:19,25.68
61,16:48:19,25.68
62,16:49:19,25.68
63,16:50:19,25.68
64,16:51:19,25.68
65,16:52:19,25.68
66,16:53:19,25.68
67,16:54:19,25.68
68,16:55:19,26.17
69,16:56:19,25.68
70,16:57:19,25.68
71,16:58:19,25.68
72,16:59:19,25.68
73,17:0:19,25.68
74,17:1:19,25.68
75,17:2:19,25.2
76,17:3:19,25.68
77,17:4:19,25.68
78,17:5:19,25.68
79,17:6:19,25.68
80,17:7:19,25.68
81,17:8:19,25.68
82,17:9:19,25.68
83,17:10:19,25.68
84,17:11:19,25.68
85,17:12:19,25.68
86,17:13:19,25.68
87,17:14:19,25.2
88,17:15:19,25.2
89,17:16:19,25.68
90,17:17:19,25.68
91,17:18:19,25.68
92,17:19:19,24.71
93,17:20:19,25.68
94,17:21:19,25.2
95,17:22:19,25.2
96,17:23:19,25.68
97,17:24:19,25.68
98,17:25:19,25.68
99,17:26:19,25.2
100,17:27:19,25.68
101,17:28:19,25.2
102,17:29:19,25.68
103,17:30:19,25.68
104,17:31:19,25.2
105,17:32:19,25.68
106,17:33:19,25.68
107,17:34:19,25.68
108,17:35:19,25.68
109,17:36:19,25.2
110,17:37:19,25.2
111,17:38:19,25.68
112,17:39:19,25.2
113,17:40:19,25.2
114,17:41:19,24.71
115,17:42:19,25.68
116,17:43:19,25.2
117,17:44:18,25.68
118,17:45:18,25.68
119,17:46:18,25.68
120,17:47:18,25.2
